,X,Y,Z
0,-14.9819,0.0,-0.0003
24,-14.9819,0.0,0.0
98,-14.9819,-1.2854,0.0
99,-16.1822,-4.5183,0.0
100,-20.4342,-4.5183,0.0
101,-21.6317,-4.5183,-3.1294
102,-21.6304,-4.5183,-6.3442
103,-21.4912,-4.5183,-6.5433
104,-21.2407,-4.5183,-6.5685
105,-20.9808,-4.5183,-6.5685
106,-20.7333,-4.5183,-6.5685
107,-20.4796,-4.5183,-6.5685
108,-20.2259,-4.5183,-6.5685
109,-19.9722,-4.5183,-6.5685
110,-19.7185,-4.5183,-6.5685
111,-19.4586,-4.5183,-6.5685
112,-19.2111,-4.5183,-6.5685
113,-18.9574,-4.5183,-6.5685
114,-18.7037,-4.5183,-6.5685
115,-18.4438,-4.5183,-6.5685
116,-18.1963,-4.5183,-6.5685
117,-17.9364,-4.5183,-6.5685
118,-17.6888,-4.5183,-6.5685
119,-17.4351,-4.5183,-6.5685
120,-17.1814,-4.5183,-6.5685
121,-16.9277,-4.5183,-6.5685
122,-16.674,-4.5183,-6.5685
123,-16.4141,-4.5183,-6.5685
124,-16.1666,-4.5183,-6.5685
125,-15.9129,-4.5183,-6.5685
126,-15.6592,-4.5183,-6.5685
127,-15.4055,-4.5183,-6.5685
128,-15.1518,-4.5183,-6.5685
129,-14.8919,-4.5183,-6.5685
130,-14.6444,-4.5183,-6.5685
131,-14.3907,-4.5183,-6.5685
132,-14.137,-4.5183,-6.5685
133,-13.8833,-4.5183,-6.5685
134,-13.6296,-4.5183,-6.5685
135,-13.3697,-4.5183,-6.5685
136,-13.1221,-4.5183,-6.5685
137,-12.8684,-4.5183,-6.5685
138,-12.6147,-4.5183,-6.5685
139,-12.361,-4.5183,-6.5685
140,-12.1073,-4.5183,-6.5685
141,-11.8474,-4.5183,-6.5685
142,-11.5999,-4.5183,-6.5685
143,-11.3462,-4.5183,-6.5685
144,-11.0925,-4.5183,-6.5685
145,-10.8388,-4.5183,-6.5685
146,-10.5851,-4.5183,-6.5685
147,-10.3252,-4.5183,-6.5685
148,-10.0777,-4.5183,-6.5685
149,-9.824,-4.5183,-6.5685
150,-9.5703,-4.5183,-6.5685
151,-9.3166,-4.5183,-6.5685
152,-9.0628,-4.5183,-6.5685
153,-8.803,-4.5183,-6.5685
154,-8.555,-4.5183,-6.5685
155,-8.3237,-4.5183,-6.4876
156,-9.4199,-4.6274,-6.3185
157,-18.6033,-5.4899,-6.3185
158,-21.5999,-5.7743,-6.4406
